#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_phi_scf      19:delta_phi_over_phi_scf   20:delta_phi_prime_scf    21:delta_scf             22:theta_scf          
       2.333740591906e-04       9.828773879871e+01       2.631279737803e+00      -5.081587710556e-02      -1.851104411664e-03      -4.709521984107e-03      -9.532452446443e-06      -9.419363607523e-04       1.973291092851e+00      -5.091654960731e-02       5.096265052046e-02       4.948252321857e-02      -4.487168034342e-01      -6.284544337548e-03      -1.017568609582e-01      -1.093773302767e+01       9.058062374809e-02       3.902501935177e-02       2.821668568026e-02       5.287108389306e-04       2.077111355323e-01      -2.246844738287e-03 
       2.335180932849e-04       9.833817108537e+01       2.634550037958e+00      -5.050769570097e-02      -1.842753172470e-03      -4.692721027186e-03      -9.515119712303e-06      -9.385765590594e-04       1.975748904705e+00      -5.060874871819e-02       5.091731316390e-02       4.944843465200e-02      -4.484312496201e-01      -6.264257895093e-03      -1.011007396789e-01      -1.094240272006e+01       9.055043582828e-02       3.905165440509e-02       2.824027574947e-02       5.275592099650e-04       2.079590802725e-01      -2.227168089888e-03 
       2.336623392051e-04       9.838866564297e+01       2.637804575629e+00      -5.019887702406e-02      -1.834342848090e-03      -4.675168190669e-03      -9.495526290349e-06      -9.350662188614e-04       1.978194920205e+00      -5.030031113025e-02       5.087221222724e-02       4.941454640463e-02      -4.481457295300e-01      -6.244264246446e-03      -1.004456160958e-01      -1.094707592625e+01       9.052022779693e-02       3.907826418094e-02       2.826386542970e-02       5.264070322326e-04       2.082070831845e-01      -2.207423176457e-03 
       2.338067974607e-04       9.843922260159e+01       2.641043266214e+00      -4.988942139615e-02      -1.825864347399e-03      -4.656970512852e-03      -9.473986845626e-06      -9.314268088887e-04       1.980629075989e+00      -4.999123716333e-02       5.082734776891e-02       4.938085869976e-02      -4.478602247929e-01      -6.224563500977e-03      -9.979150225114e-02      -1.095175265259e+01       9.048999973972e-02       3.910484857696e-02       2.828745470476e-02       5.252543231283e-04       2.084551427893e-01      -2.187610155840e-03 
       2.339514685631e-04       9.848984209171e+01       2.644266024836e+00      -4.957932915197e-02      -1.817314113004e-03      -4.638212944990e-03      -9.450765335293e-06      -9.276753568251e-04       1.983051308490e+00      -4.968152714943e-02       5.078272001477e-02       4.934737176029e-02      -4.475747169665e-01      -6.205155759543e-03      -9.913841021396e-02      -1.095643290541e+01       9.045975174274e-02       3.913140749131e-02       2.831104355905e-02       5.241011001465e-04       2.087032576003e-01      -2.167729187676e-03 
       2.340963530253e-04       9.854052424419e+01       2.647472766347e+00      -4.926860063773e-02      -1.808691664267e-03      -4.618964232194e-03      -9.426080440265e-06      -9.238256347203e-04       1.985461553936e+00      -4.937118143205e-02       5.073832928302e-02       4.931408580865e-02      -4.472891875374e-01      -6.186041114353e-03      -9.848635207968e-02      -1.096111669110e+01       9.042948389246e-02       3.915794082272e-02       2.833463197755e-02       5.229473808819e-04       2.089514261229e-01      -2.147780433337e-03 
       2.342414513618e-04       9.859126919030e+01       2.650663405321e+00      -4.895723621015e-02      -1.799998145670e-03      -4.599280872036e-03      -9.400112559374e-06      -9.198889563222e-04       1.987859748348e+00      -4.906020036536e-02       5.069417593985e-02       4.928100106676e-02      -4.470036179219e-01      -6.167219648873e-03      -9.783533996997e-02      -1.096580401607e+01       9.039919627589e-02       3.918444847047e-02       2.835821994586e-02       5.217931830287e-04       2.091996468554e-01      -2.127764055904e-03 
       2.343867640892e-04       9.864207706170e+01       2.653837856060e+00      -4.864523623607e-02      -1.791235479694e-03      -4.579209852495e-03      -9.373010575436e-06      -9.158747280773e-04       1.990245827543e+00      -4.874858431375e-02       5.065026037372e-02       4.924811775600e-02      -4.467179894659e-01      -6.148691437739e-03      -9.718538603251e-02      -1.097049488674e+01       9.036888898047e-02       3.921093033439e-02       2.838180745017e-02       5.206385243815e-04       2.094479182879e-01      -2.107680220153e-03 
       2.345322917255e-04       9.869294799042e+01       2.656996032589e+00      -4.833260109226e-02      -1.782405881806e-03      -4.558790602479e-03      -9.344897730390e-06      -9.117908413155e-04       1.992619727129e+00      -4.843633365159e-02       5.060658298054e-02       4.921543609718e-02      -4.464322834459e-01      -6.130456546686e-03      -9.653650244074e-02      -1.097518930957e+01       9.033856209419e-02       3.923738631487e-02       2.840539447730e-02       5.194834228349e-04       2.096962389033e-01      -2.087529092557e-03 
       2.346780347904e-04       9.874388210894e+01       2.660137848657e+00      -4.801933116551e-02      -1.773511591112e-03      -4.538056424338e-03      -9.315876469901e-06      -9.076439600208e-04       1.994981382511e+00      -4.812344876321e-02       5.056314415563e-02       4.918295631056e-02      -4.461464810686e-01      -6.112515032478e-03      -9.588870139358e-02      -1.097988729105e+01       9.030821570553e-02       3.926381631291e-02       2.842898101467e-02       5.183278963840e-04       2.099446071767e-01      -2.067310841294e-03 
